pais,puntos
England,91.25
India,90.75
Austria,89.99266055045871
Germany,89.80875356803045
Hungary,89.42622950819673
Canada,89.21296296296296
France,88.87148738142116
Morocco,88.63636363636364
Australia,88.58283772302464
Italy,88.5664167916042
US,88.55609522758215
Luxembourg,88.25
New Zealand,88.23738062755798
Turkey,88.23255813953489
Israel,88.1891891891892
Macedonia,88.16666666666667
Portugal,88.13432332095849
South Africa,88.07462686567165
Slovenia,87.97435897435898
Bulgaria,87.91176470588235
Serbia,87.85714285714286
Switzerland,87.75
Lebanon,87.65
Georgia,87.56756756756756
Spain,87.25960692285128
Greece,87.23140495867769
Croatia,87.20454545454545
Moldova,87.1
Slovakia,87.0
Armenia,87.0
Czech Republic,86.83333333333333
Argentina,86.68169900367069
Uruguay,86.65573770491804
Chile,86.57440212577502
Romania,86.5223880597015
Cyprus,86.33333333333333
Mexico,85.96774193548387
Bosnia and Herzegovina,85.0
Brazil,84.35483870967742
Peru,84.0
Ukraine,82.8
